NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
ENID CARTER,UPRIGHT,DUBL,1991,2717,T&S.DEEP PINK.C.PALE VIOLET BLUE.SPLASHED PINK.FADING LAVENDER.LARGE FLOWERS,PARTY FROCK X GIANT FALLS.,DAUE MRS.N.Z
ENID J.LIM,UPRT BUSH,DUBL,,,T&S.RED.C.DEEP PURPLE THEN TO BURGUNDY.VERY LARGE FLOWERS.,PARENTAGE UNKNOWN. VERY SIMILAR TO JUBIE LIN.,UNKNOWN.N.Z
ERNESTINE,MED UPRT,DUBL,1981,1616,T.FLESH.S.FLESH TO ORANGY-PINK.C.PALE ORANGE-SCARLET.,(TRADE WINDS X DEE DEE) X FAN TAN.,STUBBS
ESCHOTT ELF,TRAILER,SGLE,1976,1400,T.THIN WHITE FLUSHED PINK.S.LONG THIN WHITE FLUSH PINK.REFLEXED.C.WHITE.,PINK CLOUD X LENA DALTON SEEDLING X SONATA X LAKESIDE.,RYLE
ESSTEEDEE,TRAILER,DUBL,1990,2574,T.WHITE STRIPED GREEN.S.WHITE EDGED PURPLISH ROSE.C.REDDISH-PURPLE.,OVATION X HAPPY WEDDING DAY X WHITE KING.92 IMPORT.LOST.,RICHARDSON
ESTELLE MARIE,LOW UPRT,SGLE,1973,1082,T.SHORT GREENISH-WHITE.S.WHITE TIPS GREEN.C.BLUE-VIOLET.,ONE PARENT COULD BE ERECTOR NOVELTY.SIMILAR TO MARTINA.,NEWTON
ETERNAL FLAME,UPRT BUSH,SIDL,1941,959,T&S.SALMON-PINK TIPS GREEN.C.SMOKEY ORANGE.STREAKED ORANGE.,PARENTAGE UNKNOWN.,PASKESEN
ETHEL KEMPSTER,TRAILER,DUBL,1989,,T.LIGHT PINK.S.WHITE BASE PINK.VERY LONG.TIPS GRN.C.ROSE TO PLUM-PURPLE.,PARENTAGE UNKNOWN. RAISED AND LISTED IN AUSTRALIA.,POOLE
EUREKA RED,LABU-TRAL,DUBL,1991,2778,T.GREEN-WHITE.S.DARK ROSE.LIGHTER UNDER.TIPS REFLEXED.C.ROSE RED PURPLE.,SEVENTH HEAVEN X SNOW BURNER. 1992 IMPORT.,STUBBS
EURO FUCHSIA 2007 DENMARK,UP/TRAILER,DUBL,2006,6543,SEPALS PINKISH LAVENDER WITH GREEN AT BASE; COROLLA LIGHT PINKISH LILAC; MATURING MAUVE,NO INFORMATION,MICHIELS BELG
EUSEBIA,MED UPRT,DUBL,1982,1663,T.WHITE.S.LONG WHITE.FADING TO ROSE.RECURVED.C.RED.SHORT FLOWERS.,PEPI X(APPLAUSE X BICENTENNIAL).,STUBBS
EVA BOERG,LAX BUSH,SGLE,1943,,T.GREENISH WHITE.S.PINKISH WHITE.TIPS GREEN.C.PINKISH PURPLE.,PARENTAGE UNKNOWN.,YORKE
EVAN HINES,TRAILER,DUBL,1991,2726,T.WHITE OR ROSE.S.WHITE.RECURVED TIPS APPLE GREEN.COROLLA & PETALOIDS WHITE.,MICHELLE'S CREAM X MONTROSE VILLAGE. 1992 IMPORT. LOST.,RICHARDSON
EVANSON'S CHOICE,TALL UPRT,SGLE,1880,,T&S.CRIMSON.SEPALS HELD HORIZONTALLY.C.VENETIAN-PINK.,SNOWCAP X CLOVERDALE PEARL.,ROE
EVENSONG,UPRT BUSH,SGLE,1967,,T.S.& C.ALL WHITE SELF.BASE OF SEPAL PINK.S.REFLEXED.,PARENTAGE UNKNOWN.,COLVILLE
EXPO 86,TRAILER,DUBL,1986,2022,T.PINK.S.WHITE ON TOP.ORANGE-PINK UNDERNEATH.GREEN TIPS.C.RED AND ORANGE.,DIANA X CORSAGE.,WOOD
EYECATCHER,UPRT BUSH,DUBL,1977,1416,T.ROSE-PINK.S.BROAD AND SHORT ROSE PINK.C.WHITE.DEEP ROSE AT BASE.,SEEDLING FROM SNOWCAP.,JACKSON
FAIRY DANCER,UPRT BUSH,SGLE,1989,2413,T.SHORT.PINK.S.1 INCH LONG.PINK.NO COROLLA.HAS FOUR RED PURPLE STAMINOIDS.,NETTALA X ROYAL VELVET. 1992 IMPORT.,HELMAC
FAIRYTALE,TRAILER,SIDL,1972,1047,T.SHORT CANDY PINK.S.REFLEXED CANDY PINK.C.ALL CANDY PINK SELF.,PARENTAGE UNKNOWN. RAISED AUSTRALIA. 1992 IMPORT. LOST.,LOCKERBIE
FALCO,UPRT TRAIL,DUBL,2005,5739,TUBE MAGENTA SEPALS REDDISH MAGENTA; COROLLA DEEP RED/PURPLE,,MICHIELS BELG
FALLING STARS,LAX BUSH,SGLE,1941,,T&S.PALE SCARLET.SEPALS PLEATED.C.TURKEY-RED.WITH ORANGE TINTS.,CASCADE X.,REITER
FAN TAN,VIG UPRT,DUBL,1973,1110,T&S.VERY PALE PINK OR OFF WHITE.C.REDISH-ORANGE MARBLED AT BASE.,PARENTAGE UNKNOWN.,PASKESEN
FANCY PANTS,LABU-TRAL,DUBL,1961,489,T&S BRIGHT RED.C.PURPLE FADING REDDISH.FLOWERS LARGE.,PARENTAGE UNKNOWN.,REEDSTROM
FANFARE,LAX UPRT,SGLE,1941,,T.LONG CARMINE.S.LIGHT CARMINE.C.TURKEY RED.FLRS TUBULAR.3 INS LONG.,F.DENTICULATA X F.LEPTOPODA.,REITER
FANTASIA,TRAILER,DUBL,,,T&S.PALE ROSE.C.VIOLET BLUE.,PARENTAGE UNKNOWN.SIMILAR TO LADY BETH. LISTED GRO-WEL.,UNKNOWN.N.Z
FANTASY,TALL UPRT,SIDL,1951,106,T.SHORT WHITE.S.FUCHSIA PINK UPTURNED.C.PALE ORCHID PINK CENTRE.PURPLE EDGED,PARENTAGE UNKNOWN.,WALTZ
FASCINATION,UPRT BUSH,DUBL,1905,,T&S.RED.C.BLUSH PINK FLUSHED ROSE PINK.VEINED CERISE.,PARENTAGE UNKNOWN.SYN.WITH EMILE DE WILDEMAN.,LEMOINE
FASCINATION SMITH,UPRT BUSH,DUBL,,,T&S.CREAMY WHITE.C.LAVENDER.,GROWN BY L.SMITH.N.Z.AND NAMED BY BALLERINA FUCHSIAS.N.Z,SMITH.L.N.Z
FASHION,UPRT BUSH,SIDL,1951,91,T.WHITE.S.ROSE FLUSHED PINK.UPTURNED.C.DEEP METHYL VIOLET MARBLED MAUVE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
FAVOURITE OF FORTUNE,,,,,NO INFORMATION,,
FENMAN,UPRT BUSH,SGLE,1985,,T.THICK.S.FLESH PINK.RECURVED.C.MEDIUM PINK.FLOWERS LARGE.,PARENTAGE UNKNOWN.,GOULDING
FENROTHER FAIRY,LOW UPRT,SGLE,1979,1527,T&S.WHITE FLUSH PINK TIPS GREEN.C.PALE PINK.DWARF UPRIGHT.,BLUE SATIN X ROYAL VELVET.,RYLE
FESTIVAL,UPRT BUSH,SIDL,1948,7,T&S.PALE PINK.C.CLARET ROSE.FLOWERS MEDIUM.,PARENTAGE UNKNOWN.REG.NO.INCORRECTLY STATED AS NO.4.BOUL,SCHNABEL
FEY,LAX BUSH,DUBL,1970,,T&S.CREANY WHITE.REFLEXED.C.PORCELAIN BLUE MATURING TO LILAC.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
FIERY SPIDER,CASCADE,SGLE,1960,452,T.LONG THIN CARMINE.S.LONG NARROW SALMON.TIPS GREEN C.CRIMSON.ORANGE FLUSH.,PARENTAGE UNKNOWN.,MUNKNER
FIFI,LOW BUSH,SGLE,1958,362,T.WHITE.S.FLUSHED PINK.SEPALS CURL UPWARDS.C.VIOLET-BLUE.WHITE BASE.,PARENTAGE UNKNOWN.,MARTIN
FIONA,LAX UPRT,SGLE,1958,,T& LONG SEPALS WHITE.TIPS GREEN.C.BLUE FADING TO LIGHT REDDISH PURPLE.,PARENTAGE UNKNOWN.,CLARK.W
FIORELLI FLOWERS,UPRIGHT,DUBL,2004,5613,T & SEPALS DARK REDDISH PURPLE; COROLLA DARK REDDISH PURPLE,WALZ HARP X ROHEES NEW MILLENIUM,GEERTS BEL
FIRE BIRD,TRAILER,SIDL,1962,,T&S.RED.C.DEEP RED.ALMOST A SELF.,PARENTAGE UNKNOWN. THREE OF THIS NAME.,WALKER.R
FIRE MOUNTAIN,UPRT BUSH,DUBL,1980,1536,T.FLESH.S.PALE ORANGE PINK.C.ORANGE CARMINE.OUTER PETALS SHADED ORANGE.LARGE,NOVELLA X (APPLAUSE X BICENTENNIAL).,STUBBS
FIRE OF THE EAST,UPRT BUSH,SGLE,,,T&S VERMILLION.TIPS GREEN.C.DEEP VERMILLION.FLOWERS LARGE FOR A SINGLE.,PARENTAGE UNKNOWN.ONLY KNOWN IN N.Z.SIMILAR TO FIREFLY.,UNKNOWN.N.Z
FIREBALL,TRAILER,DUBL,1957,310,T.SHORT.S.BROAD UPTURNED BRIGHT CARMINE.TIPS GRN.C.RUDDY-PURPLE TO CARMINE.,PARENTAGE UNKNOWN.,WALTZ
FIREBRAND,UPRT BUSH,SGLE,,,T&S WHITE.SEPALS FLUSHED PINK UNDERNEATH.C.SALMON PINK.TRAINABLE.,PARENTAGE UNKNOWN. LISTED EARLY N.Z.CATALOGUES.,UNKNOWN.N.Z
FIRECRACKER,TRYPHYLLA,,1998,,RICH ORANGE/SCARLET FLOWERS. FOLIAGE OLIVE GREEN TINGED PINK.,VARIEGATED FORM OF THALIA,FUCHSIAVALE UK
FIREFALL,TRAILER,SGLE,1939,,T&S.CLEAR CARMINE.C.ALL CARMINE SELF.FOLIAGE RED-BRONZE.,AUTUMNALE X MRS RUNDLE.,REITER
FIREFLY,TALL UPRT,SGLE,1940,,T.S.& C.ALL VIVID RED. ALMOST A SELF.,PRIDE OF EXETER X ROLLA.VERY SIMILAR TO FIRE OF THE EAST,NIEDERHOLZER
FIREGLOW,TRAILER,DUBL,1953,180,T.SLENDER NEAR WHITE.S.LIGHT ROSE.C.ROSY-RED.PETALOIDS LIGHTER SHADE.,PARENTAGE UNKNOWN.,NELSON
FIRELITE,BUSH-TRAL,DUBL,1965,654,T.& POINTED SEPALS WHITE.C.GLOWING CARNIVAL RED.NONFADING.,PARENTAGE UNKNOWN.,WALTZ
FIRST KISS,LOW UPRT,SGLE,1978,,T.CREAM.S.WHITE FLUSH NEYRON ROSE.TIPS GREEN.C.FRENCH ROSE.,LA-CAMPANELLA X UNKNOWN.,DE-GRAAFF
FIRST LADY,LABU-TRAL,DUBL,1973,1080,T.PINK.S.DEEP PINKISH CORAL.C.DEEP CLEAR PINK.FLOWERS LARGE.,PINK GALORE X WHITE KING.,STUBBS
FIRST LOVE,TRAILER,DUBL,1957,283,T&S.WHITE.SEPALS LONG PINK FLUSHED.C.ORCHID.OUTER PETALS MARBLED PINK-WHITE.,PARENTAGE UNKNOWN.,KENNETT
FIRST SUCCESS,MED UPRT,SGLE,1985,1853,T.PINK.S.LIGHT PINK.C.LIGHT PINK MATURING DARKER. SPECIES HYBRID.,F.PANICULATA X F.SPLENDENS.,WEEDA.B
FLAIR,TRAILER,DUBL,1961,486,T&S.WHITE.C.RASPBERRY-PINK.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
FLAME,UPRT BUSH,SGLE,1941,,T&S.IVORY.C.REDDISH-ORANGE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
FLAMINGO,UPRT BUSH,SGLE,1976,,T&S.PINK-ORANGE.C.SELF COLOURED PINKISH-ORANGE.,FLASH X UNKNOWN.THIS IS NOW KNOWN AS DUTCH FLAMINGO.,DE-GRAAFF
FLAREPATH,UPRT BUSH,SGLE,1976,,T&S.DEEP PINK.C.ROSE MADDER.FLOWERS MED. BUSHY.,PARENTAGE UNKNOWN.,HOBSON
FLASH,VIG UPRT,SGLE,1930,,T&S.LIGHT MAGENTA.C.LIGHT MAGENTA RED.ALMOST SELF.SMALL FLOWERS.,PARENTAGE UNKNOWN.,HAZARD
FLIRTATION,UPRT BUSH,DUBL,1946,,T&S.PALE ROSE MADDER.C.VERY PALE PETUNIA PURPLE.PETALS PICOTEE EDGED.,SPORT FROM LUCKY STRIKE.,LEITNER
FLIRTATION WALTZ,UPRT BUSH,DUBL,1962,523,T&S.CREAMY WHITE.PINK FLUSHED.C.SHELL PINK.DEEPENING AS IT MATURES.,PARENTAGE UNKNOWN.,WALTZ
FLOCON DE NEIGE,VIG UPRT,SGLE,1884,,T&S.CERISE.C.CREAMY WHITE.LIGHTLY VEINED CERISE.,PARENTAGE UNKNOWN.SYN.FERDINAND MAHNKE.SIM.HARDY WHITE,LEMOINE
FLORABUNDA,,,,,NO INFORMATION,,
FLORAMA,UPRIGHT,DUBL,2004,5613,TUBE; SEPALS AND COROLLA PROCELAINE WHITE,,MICHIELS BELG
FLORENCE MARY ABBOTT,UPRIGHT,SGLE,1983,1726,T&S.WHITE FAINT TINGE OF PINK.C.PURE WHITE.,PARENTAGE NOT KNOWN.,GOULDING
FLORENCE TAYLOR,TRAILER,DUBL,1978,,T&S.DEEP BLOOD RED.C.FUCHSIA PURPLE.MOTTLED ROSE RED.,PARENTAGE UNKNOWN.,PACEY
FLORENTINA,LABU-TRAL,DUBL,1960,432,T&S.FROSTY WHITE.C.SMOKY BURGUNDY-RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
FLUFFY FRILLS,LABU-TRAL,DUBL,1976,1382,T.SHORT DARK PINK.S.BROAD CLARET RED.DARKER ON OUTSIDE.C.AMARANTH-PINK.,PINK MARSHMALLOW X FRANCES KEIZAR.,STUBBS
FLUORESCENT,LABU-TRAL,DUBL,1952,,T&S.WHITE TIP GREEN.C.ORCHID.BLUSHED WHITE AT BASE.PETALOIDS ROSEINE-PURPLE.,PARENTAGE UNKNOWN.,WALKER
FLY BY NIGHT,UPRT BUSH,DUBL,1965,821,T&S.CHERRY.C.FUCHSIA PURPLE FLUSHED AND EDGED DEEP ROYAL PURPLE.,PARENTAGE UNKNOWN.,CROCKETT
FLYAWAY,UPRT BUSH,DUBL,1965,820,T.SHORT.S.WHITE REFLEX.REVERSED ROSE.C.SPECTRUM VIOLET FADING ORCHID PURPLE.,PARENTAGE UNKNOWN.CORRECT SPELLING IS FLYAWAY AS REG.,CROCKETT
FLYING CLOUD,LAX UPRT,DUBL,1949,27,T&S WHITE.TIPS GREEN.FAINT PINK UNDERSIDE.C.WHITE TOUCH OF PINK AT BASE.,PARENTAGE UNKNOWN. FLOWER IS SIMILAR TO CONSTELLATION,REITER
FOLIES BERGERE,TRAILER,DUBL,1968,769,T&S.PINK.C.PINK AND LAVENDER.FLOWERS LARGE.,PARENTAGE UNKNOWN.,FUCHCIA-LA
FONSON,UPRT BUSH,DUBL,,,T&S RED.C.PURPLE.RED PETALOIDS.,PARENTAGE UNKNOWN. RAISED BY C.PATTON,PATTON.N.Z
FOOLKE,UPRIGHT,SGLE,1987,2201,T.MAGENTA.S.HALF UP MAGENTA WINE.TIPS RECURVED.C.DARK PLUM WINE.,F.EXCORTICATA X TING-A-LING X F.MAGELLANICA X PERSCANDEN,BOGEMANN
FOREST KING,TRAILER,SGLE,1978,1471,T.MAGENTA.S.ARE FLAT AND BROAD MAGENTA.TIPS GREEN.C.MAGENTA VIOLET.,PARENTAGE UNKNOWN.,TOLLEY
FOREVER YOURS,LABU-TRAL,SIDL,1956,252,T.PALE ROSE.S.PALE ROSE ARE LONG AND RECURVED.C.COMPANULA VIOLET AND PINK.,PARENTAGE UNKNOWN.,TIRET
FORGET ME NOT,UPRT BUSH,SGLE,1866,,T&S.PALE FLESH PINK.C.PALISH BLUE.FLOWERS VERY SMALL.,PARENTAGE UNKNOWN.CONFUSION HERE.SEVERAL OF THIS NAME.,BANKS
FORMOSSIMA,UPRT BUSH,SGLE,1846,,T&S.CREAMY WHITE.C.PALE PINKISH VIOLET. SOMETIMES SPELT FORMISSIMA.,PARENTAGE UNKNOWN. NOTE SPELLING IS NOT FORMOSISSIMA.,GIRLING
FORT BRAGG,TRAILER,DUBL,1957,314,T& BROAD UPTURNED SEPALS ROSE.C.PALE LAVENDER-ROSE.WITH BLUISH TINGE.,SPORT FROM ENCHANTED.,WALTZ
FOUNTAINS ABBEY,LABU-TRAL,DUBL,1981,,T.WHITE.S.PINKISH WHITE TIPS GREEN.C.LAVENDER BLUE FLUSHED AND VEINED PINK.,COQUET BELL X BLUSH OF DAWN.,AKERS
FOXTROT,UPRIGHT,SIDL,1974,1229,SEPALS PALE CERISE; COROLLA PALE LAVENDER,TENNESSEE WALTZ X TOLLEY,UK
FRANK SAUNDERS,BUSH,SGLE,1984,,T & S WHITE; C. LILAC PINK. FLOWERS IN PROFUSION.FOLIAGE DARK GREEN SMALL.,,DYOS UK
FRANK UNSWORTH,LAX UPRT,DUBL,1982,,T.SHORT WHITE.S.WHITE COVER TUBE.TIPS GREEN.C.WHITE FLUSHED PINK AT BASE.,SEEDLING FROM BOBBY SHAFTOE.,CLARK.D
FRAU EMMA TAUPER,UPRT BUSH,DUBL,1894,,T&S CORAL RED.C.WHITE.VEINS RED.,PARENTAGE UNKNOWN.NAME HAS BEEN CHANGED TO STORM KING.,LETHEREN
FRAU IDA NOACK,UPRIGHT,SGLE`,,,TUBE AND SEPALS WAXY ROSE; COROLLA ROSE MAGENTA; SMALL BLOOMS SMALL & FREE.,UNKNOWN SYN. WITH DISPLAY,UNKNOWN
FRED BLEIJS,UPRIGHT,DUBL,2005,5908,SEPALS LIGHT PINK; TIPPED GREEN; COROLLA MAGENTA,CARME X LEON PAUWELS,VAN EIJK
FREDERIKE,UPRIGHT,SGLE/SIDL,1979,,T.WHITE PINK BLUSH; S. PINK WITH GREEN TIPS; C. DEEP BORDEAUX RED SALMON PINK AT BASE.,SEEDLING X WASSERNYMPH,FELIX HOLL.
FRENCHI,UPRT BUSH,DUBL,1953,166,T.FLUSHED WHITE.S.WIDE & RECURVED SALMON-PINK.C.SILVERY-BLUE SPLASHED PINK.,PARENTAGE UNKNOWN.,WALTZ
FRITZ KREISLER,UPRT BUSH,SGLE,1944,,T&S.CRIMSON.C.RHODAMINE PURPLE.CAN BE SEMI-DOUBLE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
FROLIC,TRAILER,SGLE,1962,540,T&S.LIGHT PINK.S.BROAD.TIPS GREEN.C.MALLOW-PINK.CAN BE SEMI-DOUBLE.,PARENTAGE UNKNOWN.,ERICKSON
FROSTED AMETHYST,LABU-TRAL,DUBL,1975,1258,T&S.BRIGHT RED.T.LONG.S.BROARD.C.AMETHYST-PURPLE STREAKED RED-PINK-AMETHYST,PINK MARSHMALLOW X WHITE KING.,STUBBS
FROSTED FLAME,TRAILER,SGLE,1975,1273,T.WHITE.S.WHITE FLUSHED PALEST PINK.C.BRIGHT FLAME DEEPER AT EDGES.,PARENTAGE UNKNOWN.,HANDLEY
FROST'S MIDAS TOUCH,UPRT BUSH,SGLE,1979,1508,T.S.C.ROSE PINK.COLOURING LIKE DISPLAY.FLOWERS SMALLER & NOT SAUCER SHAPED.,SPORT FROM DISPLAY.BOUL.HAS INCORRECT REG.AS NO.1599.,FROST
FROSTY JACK,UPRT BUSH,DUBL,1991,2718,T.MAGENTA.S.WHITE FLUSHED MAGENTA.C.OPENS REDDISH-PURPLE MATURING MAGENTA.,(BLUSH OF DAWN X LA-CAMPANELLA) X SNOWFIRE.,SHARPE.N.Z
FRUHLING,UPRT BUSH,DUBL,1878,,TUBE & SEPALS LIGHT RED; COROLLA PURPLE BLUE. LARGE BLOOMS FREELY PRODUCED.,,ELSNER AUSTRIA
FUCHSIADE 88,UPRIGHT,SGLE,1989,2517,T&S.REDDISH-PURPLE.RECURVED.C.OPENS DARK PURPLE MATURING TO PURPLE.,F.LYCIOIDES X F.MAGELLANICA X(EXCORTICATA X TING A LING),DE-GRAAFF
FUCHSIARAMA 91,UPRIGHT,SGLE,1991,,T.VERY LONG PINK.S.SHORT PINK.C. PINK. TRIPHYLLA TYPE FLOWERS.,PARENTAGE NOT KNOWN.,STANNARD
FUJI-SAN,UPRIGHT,SGLE,1992,2906,T.MAGENTA.S.GREENISH MAGENTA.TIPS RECURVED.C.DARK ORANGE.No.40B.,F.DECUSSATA X F.DENTICULATA. 1997 IMPORT BY HAYES.,BOGEMANN
FUR ELISE,LABU-UPRT,DUBL,1968,,T.PINK.S.WHITE.PINK UNDERNEATH.C.LAVENDER BLUE AGEING TO PALE PURPLE.,PARENTAGE UNKNOWN.,BLACKWELL
FUTURA,TRAILER,DUBL,1969,864,T&S.PINK.S.VERY LONG & TWISTED.C.OUTER PETALS PINK SPLASHED BLUE.LARGE BLOOM,PARENTAGE UNKNOWN.,KENNETT
GALLI CURCI,LAX BUSH,SGLE,1942,,T&S.WAXY SHELL PINK.ROSE PINK ON REVERSE.C.PINK SUFFUSED VIOLET PINK.,PARENTAGE UNKNOWN.,EVANS
GARDEN NEWS,TALL UPRT,DUBL,1978,1453,T.SHORT AND THICK.S.ROSE PINK.C.MAGENTA ROSE.BASE ROSE PINK.,PARENTAGE UNKNOWN. BOUL HAS INCORRECT REG NO AS 4553,HANDLEY
GARDEN WEEK,LABU-TRAL,DUBL,1985,1802,T.SMALL FLUSHED NEYRON ROSE.S.NEYRON-ROSE.C.BEETROOT PURPLE TO JASPER RED.,PINK MARSHMALLOW X MIDNIGHT SUN. RAISED AUSTRALIA.,RICHARDSON
GARTENMEISTER BONSTEDT,VIG UPRT,SGLE,1905,,(TRY)T.LONG.T.S.& C ALL BRICK RED.VIGOROUS GROWER.FOLIAGE DARK BROZY RED.,F.TRIPHYLLA X.KNOWN AS LATE PERFECTION.SIMILAR TO THALIA,BONSTEDT
GAY ANNE,LABU-TRAL,SIDL,1973,1221,T.CLARET ROSE.S.CLARET ROSE.UNDERSIDE CRIMSON.C.MALLOW-PINK.EDGED ROSE.,LEONORA X JOAN PACEY.,GADSBY
GAY FANDANGO,UPRT BUSH,DUBL,1951,176,T.CARMINE.S.CARMINE LONG BROAD.C.ROSE.FLOWERS LARGE.GROWTH BUSHY.,PARENTAGE UNKNOWN.,NELSON
GAY PARASOL,LAX UPRT,DUBL,1979,1501,T.SHORT THICK IVORY GREEN.S.IVORY.C.DARK RED PURPLE FADING TO BURGUNDY RED.,APPLAUSE X PEPI.,STUBBS
GAY SENORITA,UPBU,SGLE,1939,,T.SHORT RED.S.ROSY RED.C.DARK LILAC ROSE.BELL SHAPED.,HERON X PRIDE OF EXETER,SCHMIDT
GAY SPINNER,UPRT BUSH,SIDL,1978,,T&S.PINK.VERY LARGE SEPALS.C.PINK AT TOP.CHANGING TO IMPERIAL PURPLE.,PARENTAGE UNKNOWN.,LOCKYER
GAZEBO,TRAILER,SIDL,1972,830,T&S NEYRON ROSE.C.SALMON-RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
GAZELLE?,,,,,NO INFORMATION PROBABLY GAZETTE,,
GAZETTE,LAX BUSH,DUBL,1970,,T.LONG.S.LONG CHINA ROSE.C.METHYL VIOLET.PETALOIDS ROSE.,PARENTAGE UNKNOWN.,BAKER
GEN. BERNARD MONTGOMERY,TALL UPRT,DUBL,1944,,T&S.CARMINE.C.MAROON WITH ROLLED IN PETALS.FLOWERS LARGE AND LOOSE.,PARENTAGE UNKNOWN.,GARSON
GENE,,,,,SEPALS ROSE RED; COROLLA VIOLET,NO DETAILS.,unknow
GENERAL IKE,LAX BUSH,DUBL,1950,,T.LONG CRIMSON.S.CRIMSON PAGODA TYPE.C.ASTER VIOLET.SPLASHED WHITE AND RED.,PARENTAGE UNKNOWN.,WALKER
GENEVIEVE,CASCADE,DUBL,1957,321,T.& WIDE S.DEEP PINK OUTER.BRIGHT PINK INNER.C.PALE BLUE AND LIGHT LAVENDER.,PARENTAGE UNKNOWN.,MARTIN
GENII,UPRT BUSH,SGLE,1951,,T&S.CERISE.C.RICH VIOLET AGEING TO DARK ROSE.FLOWERS SMALL.,PARENTAGE UNKNOWN.SYN WITH JEANE.SIMILAR TO GOLDEN GATE,REITER
GEORGANA,UPRT BUSH,DUBL,1955,237,T&S.PINK.C.SHADES OF PASTEL BLUE AND ORCHID.FLOWERS LARGE.,PARENTAGE UNKNOWN. INCORRECTLY SPELT AS GEORGEANA.,TIRET
GIANT CASCADE,CASCADE,SGLE,1940,,T & S.& C.ALL RICH CARMINE SELF.VIGOROUS.CASCADE.FLOWERS LARGE.,PARENTAGE UNKNOWN.SIMILAR TO CLARET CUP BY F.SMITH.1896,NELSON
GIANT FALLS,LAX TRAL,DUBL,1957,323,T&S.PINK.S.UPTURNED AND TIPPED GREEN.C.CREAMY WHITE.VEINED PINK AT BASE.,PARENTAGE UNKNOWN.,ERICKSON
GIANT PINK ENCHANTED,LABU-TRAL,DUBL,1965,,T&S ROSE.C.WHITE SUFFUSED PINK.VERY LARGE FLOWERS.,PARENTAGE UNKNOWN.,UNKNOWN
GIFT WRAP,TRAILER,DUBL,1969,865,T&S WHITE.TIPS GREEN.C.DIANTHUS-PURPLE CENTRE.WHITE MARBLING AND PETALOIDS.,PARENTAGE UNKNOWN. THOUGT TO BE LOST.INFORMATION PLEASE.,KENNETT
GILDA,UPRIGHT,DUBL,1971,986,T.SHORT CORAL.S.BROAD CORAL.C.OVERLAID ROSE.EACH PETAL EDGED BRIGHT RED.,PARENTAGE UNKNOWN. INFORMATION ON THIS.HAVE YOU GOT IT.,HANDLEY
GILLIAN ALTHEA,UPRIGHT,DUBL,1991,2811,T.WHITISH PINK.S.FULLY UP DARK PINK.C.LILAC-PINK-ORANGE.MATURING MAGENTA.,DARK EYES X STEVIE DOIDGE.,WEEKS
GINGER,,,,,SEPALS SALMON PINK; COROLLA WHITE,NO DETAILS.,UNKNOWN
GLADIATOR,UPRIGHT,DUBL,1889,,T.PALE CARMINE.S.CARMINE PINKC. WHITE HEAVILY VEINED SPLASHED CARMINE.,PARENTAGE UNKNOWN,LEMOINE FR.?
GLENBY,UPRT BUSH,DUBL,1972,1266,T.SHORT AND S.ROSE MADDER STREAKED PALE PINK.REFLEXED.C.AMETHYST VIOLET.,PARENTAGE UNKNOWN.,BRAZIER
GLENYCE,UPRIGHT,SIDL,1991,2727,T.ROSE.S.ROSE.TIPS RECURVED APPLE GREEN.COROLLA AND PETALOIDS MAGENTA.,WHITE KING X LORD LONSDALE. AUSTRALIA.1992 IMPORT. LOST.,RICHARDSON
GLITTERS,VIG UPRT,SGLE,1963,579,T.WAXY WHITE.S.WHITE OUTER.INSIDE SALMON.C.GLOWING ORANGE RED.,PARENTAGE UNKNOWN.,ERICKSON
GLOBOSA,UPRT BUSH,SGLE,,,T&S.GREENISH CREAM.C.RICH PLUM-PURPLE.ONE OF THE MANY FORMS OF GLOBOSA.,PARENTAGE UNKNOWN ONE OF THE MANY MAGELLANICA HYBRIDS.,UNKNOWN
GLORIOUS,TRAILER,SGLE,1948,17,T.WHITE.S.WHITE ON TOP.ROSE UNDERNEATH.C.ROSE-BENGAL.FLOWERS LARGE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
GLORY BEE,,,2000,,NAMED BY JIM HEIGHWAY AFTER HIS WIFE GLORIA.,,HEIGHWAY NZ
GLOWING LILAC,TRAILER,DUBL,1987,2100,T.WHITE FLUSHED PINK.S.WHITE.TIPS REFLEXED.C.LILAC.FADING TO PINK CENTRE.,PINK MARSHMALLOW X EUSEBIA.,STUBBS
GOKE SOL,TRAILER,DUBL,2003,5297,TUBE & SEPALS DARK REDDISH PURPLE; COROLLA DARK REDDISH PURPLE.,?SOPHIE MICHIELS? X ROHEES MINTAKA?,TAMERUS
GOLD CHARM,TRAILER,DUBL,1991,2774,T.LIGHT PINK.S.WHITE SHADING AND EDGED PINK.C.VIOLET SHADING MAGENTA.,SWINGTIME X OTTO X LINDY. LINDY BY ANTONELLI.1992 IMPORT,McLAUGHLIN
